rank,gene1,gene2,gene3,inferred_gene_interaction,constructible,gene1_in_sameith,gene2_in_sameith,gene3_in_sameith,pair_12_in_sameith,pair_13_in_sameith,pair_23_in_sameith,gene1_gene2_count,gene1_gene3_count,gene2_gene3_count
1,YPL046C,YAR035W,YGL240W,0.21813965,True,False,False,False,False,False,False,8,8,7
2,YJR149W,YGL240W,YDL036C,0.17956543,True,False,False,False,False,False,False,7,7,7
3,YGR288W,YJR153W,YGL240W,0.17687988,True,True,False,False,False,False,False,9,8,7
4,YGR288W,YJR153W,YDL036C,0.17333984,True,True,False,False,False,False,False,9,8,7
5,YGR288W,YJR149W,YGL240W,0.17285156,True,True,False,False,False,False,False,9,8,7
6,YGR288W,YDL036C,YDR363W-A,0.1583252,True,True,False,False,False,False,False,8,6,6
7,YGR288W,YIL124W,YMR182C,0.14782715,True,True,False,True,False,True,False,10,7,7
8,YJR149W,YDL036C,YDR363W-A,0.14501953,True,False,False,False,False,False,False,7,5,6
9,YPL046C,YGR288W,YJR153W,0.14453125,True,False,True,False,False,False,False,10,9,9
10,YGR288W,YJR153W,YMR182C,0.13879395,True,True,False,True,False,True,False,9,7,6
11,YPL046C,YJR149W,YDL036C,0.13476562,True,False,False,False,False,False,False,9,8,7
12,YPL046C,YGR288W,YMR182C,0.13391113,True,False,True,True,False,False,True,10,7,7
13,YGR288W,YJR149W,YMR182C,0.13342285,True,True,False,True,False,True,False,9,7,6
14,YGR288W,YJR149W,YDL036C,0.13183594,True,True,False,False,False,False,False,9,8,7
15,YGR288W,YJR149W,YDR363W-A,0.12683105,True,True,False,False,False,False,False,9,6,5
16,YPL046C,YJR153W,YDL036C,0.12683105,True,False,False,False,False,False,False,9,8,7
17,YOL016C,YJR149W,YDL036C,0.123413086,True,False,False,False,False,False,False,9,8,7
18,YIL124W,YJR149W,YDL036C,0.1204834,True,False,False,False,False,False,False,9,8,7
19,YGR288W,YDR213W,YMR182C,0.11779785,True,True,True,True,True,True,True,9,7,7
20,YGR288W,YJR153W,YDR363W-A,0.115356445,True,True,False,False,False,False,False,9,6,5
21,YDR213W,YJR153W,YDL036C,0.109191895,True,True,False,False,False,False,False,8,7,7
22,YGR288W,YAR035W,YMR182C,0.109069824,True,True,False,True,False,True,False,8,7,7
23,YOL016C,YJR149W,YMR182C,0.10882568,True,False,False,True,False,False,False,9,7,6
24,YJR153W,YDL036C,YDR363W-A,0.10772705,True,False,False,False,False,False,False,7,5,6
25,YPL046C,YOL016C,YAR035W,0.107421875,True,False,False,False,False,False,False,10,8,8
26,YGR288W,YAR035W,YGL240W,0.105407715,True,True,False,False,False,False,False,8,8,7
27,YGR288W,YIL124W,YDR363W-A,0.10473633,True,True,False,False,False,False,False,10,6,6
28,YGR288W,YOL016C,YMR182C,0.10406494,True,True,False,True,False,True,False,10,7,7
29,YIL124W,YDL036C,YDR363W-A,0.10308838,True,False,False,False,False,False,False,8,6,6
30,YPL046C,YGR288W,YAR035W,0.10290527,True,False,True,False,False,False,False,10,8,8
31,YPL046C,YDL036C,YDR363W-A,0.101989746,True,False,False,False,False,False,False,8,6,6
32,YPL046C,YGR288W,YDR363W-A,0.101989746,True,False,True,False,False,False,False,10,6,6
33,YJR153W,YGL240W,YDL036C,0.10015869,True,False,False,False,False,False,False,7,7,7
34,YIL124W,YJR149W,YGL240W,0.09991455,True,False,False,False,False,False,False,9,8,7
35,YPL046C,YOL016C,YMR182C,0.099609375,True,False,False,True,False,False,False,10,7,7
36,YDR213W,YJR149W,YDL036C,0.099487305,True,True,False,False,False,False,False,8,7,7
37,YPL046C,YDR213W,YAR035W,0.09893799,True,False,True,False,False,False,False,9,8,8
38,YIL124W,YJR149W,YMR182C,0.09851074,True,False,False,True,False,False,False,9,7,6
39,YOL016C,YJR153W,YDL036C,0.09643555,True,False,False,False,False,False,False,9,8,7
40,YIL124W,YJR153W,YMR182C,0.0947876,True,False,False,True,False,False,False,9,7,6
41,YPL046C,YDR213W,YMR182C,0.09460449,True,False,True,True,False,False,True,9,7,7
42,YIL124W,YJR153W,YDL036C,0.09448242,True,False,False,False,False,False,False,9,8,7
43,YPL046C,YIL124W,YMR182C,0.09240723,True,False,False,True,False,False,False,10,7,7
44,YGR288W,YDR213W,YJR153W,0.091796875,True,True,True,False,True,False,False,9,9,8
45,YIL124W,YOL016C,YMR182C,0.09161377,True,False,False,True,False,False,False,10,7,7
46,YOL016C,YJR149W,YDR363W-A,0.08795166,True,False,False,False,False,False,False,9,6,5
47,YOL016C,YJR153W,YMR182C,0.08544922,True,False,False,True,False,False,False,9,7,6
48,YPL046C,YOL016C,YJR153W,0.08496094,True,False,False,False,False,False,False,10,9,9
49,YOL016C,YDR213W,YMR182C,0.08276367,True,False,True,True,False,False,True,9,7,7
50,YPL046C,YAR035W,YMR182C,0.08227539,True,False,False,True,False,False,False,8,7,7
51,YGR288W,YJR153W,YAR035W,0.0814209,True,True,False,False,False,False,False,9,8,7
52,YOL016C,YAR035W,YMR182C,0.08123779,True,False,False,True,False,False,False,8,7,7
53,YGR288W,YIL124W,YJR149W,0.08026123,True,True,False,False,False,False,False,10,9,9
54,YIL124W,YJR149W,YDR363W-A,0.078308105,True,False,False,False,False,False,False,9,6,5
55,YOL016C,YDL036C,YDR363W-A,0.07824707,True,False,False,False,False,False,False,8,6,6
56,YPL046C,YDR213W,YGL240W,0.07788086,True,False,True,False,False,False,False,9,8,8
57,YIL124W,YAR035W,YGL240W,0.07775879,True,False,False,False,False,False,False,8,8,7
58,YIL124W,YJR153W,YGL240W,0.07727051,True,False,False,False,False,False,False,9,8,7
59,YGR288W,YOL016C,YDR363W-A,0.076293945,True,True,False,False,False,False,False,10,6,6
60,YIL124W,YDR213W,YMR182C,0.07287598,True,False,True,True,False,False,True,9,7,7
61,YPL046C,YIL124W,YAR035W,0.07287598,True,False,False,False,False,False,False,10,8,8
62,YIL124W,YAR035W,YMR182C,0.07104492,True,False,False,True,False,False,False,8,7,7
63,YGR288W,YIL124W,YJR153W,0.07086182,True,True,False,False,False,False,False,10,9,9
64,YOL016C,YJR153W,YDR363W-A,0.070617676,True,False,False,False,False,False,False,9,6,5
65,YPL046C,YOL016C,YDR363W-A,0.06781006,True,False,False,False,False,False,False,10,6,6
66,YOL016C,YAR035W,YGL240W,0.06677246,True,False,False,False,False,False,False,8,8,7
67,YOL016C,YJR149W,YGL240W,0.06640625,True,False,False,False,False,False,False,9,8,7
68,YIL124W,YJR153W,YDR363W-A,0.06604004,True,False,False,False,False,False,False,9,6,5
69,YPL046C,YGR288W,YJR149W,0.06567383,True,False,True,False,False,False,False,10,9,9
70,YOL016C,YDR213W,YJR153W,0.064086914,True,False,True,False,False,False,False,9,9,8
71,YPL046C,YOL016C,YJR149W,0.06347656,True,False,False,False,False,False,False,10,9,9
72,YIL124W,YOL016C,YDR363W-A,0.06335449,True,False,False,False,False,False,False,10,6,6
73,YGR288W,YOL016C,YJR153W,0.062438965,True,True,False,False,False,False,False,10,9,9
74,YIL124W,YOL016C,YJR149W,0.062438965,True,False,False,False,False,False,False,10,9,9
75,YGR288W,YJR149W,YAR035W,0.061706543,True,True,False,False,False,False,False,9,8,7
76,YOL016C,YJR153W,YAR035W,0.0602417,True,False,False,False,False,False,False,9,8,7
77,YPL046C,YIL124W,YJR153W,0.057250977,True,False,False,False,False,False,False,10,9,9
78,YPL046C,YDR213W,YJR153W,0.055358887,True,False,True,False,False,False,False,9,9,8
79,YOL016C,YJR153W,YGL240W,0.05432129,True,False,False,False,False,False,False,9,8,7
80,YPL046C,YJR153W,YAR035W,0.05279541,True,False,False,False,False,False,False,9,8,7
81,YGR288W,YOL016C,YJR149W,0.052124023,True,True,False,False,False,False,False,10,9,9
82,YGR288W,YIL124W,YAR035W,0.051483154,True,True,False,False,False,False,False,10,8,8
83,YIL124W,YOL016C,YJR153W,0.051239014,True,False,False,False,False,False,False,10,9,9
84,YIL124W,YGL240W,YDL036C,0.05117798,True,False,False,False,False,False,False,8,8,7
85,YOL016C,YDR213W,YAR035W,0.050567627,True,False,True,False,False,False,False,9,8,8
86,YPL046C,YJR149W,YGL240W,0.05050659,True,False,False,False,False,False,False,9,8,7
87,YPL046C,YJR153W,YGL240W,0.050323486,True,False,False,False,False,False,False,9,8,7
88,YPL046C,YIL124W,YDR363W-A,0.049682617,True,False,False,False,False,False,False,10,6,6
89,YGR288W,YDR213W,YAR035W,0.049560547,True,True,True,False,True,False,False,9,8,8
90,YDR213W,YAR035W,YMR182C,0.04953003,True,True,False,True,False,True,False,8,7,7
91,YIL124W,YJR153W,YAR035W,0.04901123,True,False,False,False,False,False,False,9,8,7
92,YPL046C,YOL016C,YGL240W,0.04815674,True,False,False,False,False,False,False,10,8,8
93,YOL016C,YJR149W,YAR035W,0.04727173,True,False,False,False,False,False,False,9,8,7
94,YDR213W,YJR153W,YMR182C,0.046020508,True,True,False,True,False,True,False,8,7,6
95,YPL046C,YIL124W,YJR149W,0.045928955,True,False,False,False,False,False,False,10,9,9
96,YOL016C,YDR213W,YJR149W,0.042907715,True,False,True,False,False,False,False,9,9,8
97,YPL046C,YIL124W,YGL240W,0.04272461,True,False,False,False,False,False,False,10,8,8
98,YGR288W,YDR213W,YJR149W,0.04144287,True,True,True,False,True,False,False,9,9,8
99,YIL124W,YOL016C,YAR035W,0.041137695,True,False,False,False,False,False,False,10,8,8
100,YIL124W,YDR213W,YJR153W,0.040222168,True,False,True,False,False,False,False,9,9,8
101,YPL046C,YIL124W,YDL036C,0.040039062,True,False,False,False,False,False,False,10,8,8
102,YDR213W,YAR035W,YGL240W,0.03970337,True,True,False,False,False,False,False,8,8,7
103,YPL046C,YOL016C,YDL036C,0.038970947,True,False,False,False,False,False,False,10,8,8
104,YPL046C,YGL240W,YDL036C,0.03894043,True,False,False,False,False,False,False,8,8,7
105,YIL124W,YDR213W,YJR149W,0.03857422,True,False,True,False,False,False,False,9,9,8
106,YJR153W,YAR035W,YMR182C,0.03805542,True,False,False,True,False,False,False,7,6,7
107,YIL124W,YDR213W,YAR035W,0.036315918,True,False,True,False,False,False,False,9,8,8
108,YGR288W,YOL016C,YAR035W,0.03540039,True,True,False,False,False,False,False,10,8,8
109,YPL046C,YJR153W,YDR363W-A,0.03338623,True,False,False,False,False,False,False,9,6,5
110,YOL016C,YGL240W,YDL036C,0.033294678,True,False,False,False,False,False,False,8,8,7
111,YIL124W,YOL016C,YGL240W,0.032165527,True,False,False,False,False,False,False,10,8,8
112,YDR213W,YJR149W,YMR182C,0.032165527,True,True,False,True,False,True,False,8,7,6
113,YIL124W,YDR213W,YDL036C,0.03149414,True,False,True,False,False,False,False,9,8,7
114,YPL046C,YJR153W,YMR182C,0.029846191,True,False,False,True,False,False,False,9,7,6
115,YDR213W,YJR153W,YAR035W,0.029785156,True,True,False,False,False,False,False,8,8,7
116,YPL046C,YDR213W,YDL036C,0.02859497,True,False,True,False,False,False,False,9,8,7
117,YIL124W,YJR149W,YAR035W,0.028167725,True,False,False,False,False,False,False,9,8,7
118,YIL124W,YOL016C,YDL036C,0.027435303,True,False,False,False,False,False,False,10,8,8
119,YJR153W,YAR035W,YGL240W,0.0262146,True,False,False,False,False,False,False,7,7,7
120,YIL124W,YDR213W,YGL240W,0.026184082,True,False,True,False,False,False,False,9,8,8
121,YGR288W,YIL124W,YDL036C,0.024963379,True,True,False,False,False,False,False,10,8,8
122,YPL046C,YJR149W,YAR035W,0.023162842,True,False,False,False,False,False,False,9,8,7
123,YPL046C,YOL016C,YDR213W,0.022125244,True,False,False,True,False,False,False,10,9,9
124,YOL016C,YDR213W,YGL240W,0.022003174,True,False,True,False,False,False,False,9,8,8
125,YDR213W,YGL240W,YDL036C,0.019958496,True,True,False,False,False,False,False,8,7,7
126,YPL046C,YJR149W,YMR182C,0.019424438,True,False,False,True,False,False,False,9,7,6
127,YGR288W,YIL124W,YGL240W,0.019073486,True,True,False,False,False,False,False,10,8,8
128,YDR213W,YJR153W,YGL240W,0.017959595,True,True,False,False,False,False,False,8,8,7
129,YPL046C,YJR149W,YDR363W-A,0.01751709,True,False,False,False,False,False,False,9,6,5
130,YPL046C,YIL124W,YOL016C,0.017471313,True,False,False,False,False,False,False,10,10,10
131,YJR149W,YAR035W,YMR182C,0.01586914,True,False,False,True,False,False,False,7,6,7
132,YOL016C,YDR213W,YDL036C,0.015548706,True,False,True,False,False,False,False,9,8,7
133,YPL046C,YIL124W,YDR213W,0.012573242,True,False,False,True,False,False,False,10,9,9
134,YPL046C,YDR213W,YJR149W,0.012298584,True,False,True,False,False,False,False,9,9,8
135,YPL046C,YGR288W,YIL124W,0.012069702,True,False,True,False,False,False,False,10,10,10
136,YJR149W,YAR035W,YGL240W,0.009613037,True,False,False,False,False,False,False,7,7,7
137,YGR288W,YDR213W,YDL036C,0.009307861,True,True,True,False,True,False,False,9,8,7
138,YIL124W,YOL016C,YDR213W,0.009307861,True,False,False,True,False,False,False,10,9,9
139,YGR288W,YOL016C,YDL036C,0.008605957,True,True,False,False,False,False,False,10,8,8
140,YGR288W,YIL124W,YDR213W,0.0061798096,True,True,False,True,False,True,False,10,9,9
141,YGR288W,YIL124W,YOL016C,0.0058135986,True,True,False,False,False,False,False,10,10,10
142,YGR288W,YGL240W,YDL036C,0.00554657,True,True,False,False,False,False,False,8,8,7
143,YDR213W,YJR149W,YGL240W,0.0047836304,True,True,False,False,False,False,False,8,8,7
144,YPL046C,YGR288W,YDL036C,-0.0008459091,True,False,True,False,False,False,False,10,8,8
145,YGR288W,YDR213W,YGL240W,-0.0010137558,True,True,True,False,True,False,False,9,8,8
146,YGR288W,YOL016C,YDR213W,-0.0014181137,True,True,False,True,False,True,False,10,9,9
147,YPL046C,YGR288W,YOL016C,-0.0020122528,True,False,True,False,False,False,False,10,10,10
148,YGR288W,YOL016C,YGL240W,-0.0029735565,True,True,False,False,False,False,False,10,8,8
149,YDR213W,YJR149W,YAR035W,-0.0035648346,True,True,False,False,False,False,False,8,8,7
150,YPL046C,YGR288W,YDR213W,-0.0046539307,True,False,True,True,False,False,True,10,9,9
151,YPL046C,YGR288W,YGL240W,-0.03466797,True,False,True,False,False,False,False,10,8,8
