idx,num_genes,genes,num_uncharacterized,uncharacterized_genes,gene_interaction,p_value,abs_score
34763,3,"YCR095C,YLR432W,YML056C",1,YCR095C,-0.1328819990158081,1.9040000154291192e-07,0.1328819990158081
125710,3,"YCR095C,YDR067C,YLR262C",2,"YCR095C,YDR067C",-0.10032500326633453,0.01680999994277954,0.10032500326633453
169364,3,"YCR095C,YDR067C,YER157W",2,"YCR095C,YDR067C",-0.18728500604629517,1.9339999198564328e-05,0.18728500604629517
235949,3,"YCR095C,YDR067C,YIL090W",2,"YCR095C,YDR067C",-0.12473099678754807,0.00022279999393504113,0.12473099678754807
238912,3,"YCR095C,YDL145C,YMR013C",1,YCR095C,-0.11822400242090225,0.008191999979317188,0.11822400242090225
249082,3,"YCR095C,YDR067C,YHL029C",3,"YCR095C,YDR067C,YHL029C",-0.2909510135650635,0.01624000072479248,0.2909510135650635
256572,3,"YCR095C,YDR067C,YMR272C",2,"YCR095C,YDR067C",-0.19800500571727753,0.001551999943330884,0.19800500571727753
276696,3,"YBR231C,YCR095C,YDR067C",2,"YCR095C,YDR067C",-0.15257500112056732,0.019680000841617584,0.15257500112056732
293583,3,"YCR095C,YJR053W,YPL241C",1,YCR095C,-0.16098299622535706,0.00304599991068244,0.16098299622535706
334784,3,"YCR095C,YGL096W,YPL177C",1,YCR095C,-0.24862900376319885,0.010259999893605709,0.24862900376319885
365000,3,"YCR095C,YDR146C,YLR131C",1,YCR095C,0.17250600457191467,0.003944000229239464,0.17250600457191467
11068,3,"YHR130C,YKR077W,YOR066W",1,YHR130C,-0.18498599529266357,9.052999777776904e-13,0.18498599529266357
327264,3,"YDR157W,YIL149C,YKR095W",1,YDR157W,-0.1562180072069168,0.03869999945163727,0.1562180072069168
51171,3,"YJL147C,YOL001W,YOR335C",1,YJL147C,-0.12648899853229523,0.001075000036507845,0.12648899853229523
121309,3,"YDR378C,YJL147C,YOR335C",1,YJL147C,-0.1169779971241951,0.007809000089764595,0.1169779971241951
250585,3,"YJL147C,YML065W,YOR335C",1,YJL147C,-0.11589699983596802,0.0005247999797575176,0.11589699983596802
261055,3,"YBL021C,YJL147C,YOR335C",1,YJL147C,-0.15565699338912964,0.001069999998435378,0.15565699338912964
262305,3,"YJL147C,YMR202W,YOR335C",1,YJL147C,-0.13504299521446228,0.049389999359846115,0.13504299521446228
265341,3,"YCR009C,YJL147C,YOR335C",1,YJL147C,-0.21184399724006653,0.00038919999497011304,0.21184399724006653
286290,3,"YJL147C,YOR335C,YPL262W",1,YJL147C,-0.22839200496673584,0.021409999579191208,0.22839200496673584
294055,3,"YHR027C,YJL147C,YOR335C",1,YJL147C,-0.16075800359249115,0.005313999950885773,0.16075800359249115
362617,3,"YJL147C,YLR222C,YOR335C",1,YJL147C,-0.18684600293636322,0.04089999943971634,0.18684600293636322
8690,3,"YDL013W,YNL309W,YOL131W",1,YOL131W,0.13339799642562866,0.0010100000072270632,0.13339799642562866
105989,3,"YJR141W,YNL309W,YOL131W",1,YOL131W,0.12361899763345718,6.075000055716373e-05,0.12361899763345718
128193,3,"YCR063W,YNL309W,YOL131W",1,YOL131W,0.1082879975438118,0.007823999971151352,0.1082879975438118
169476,3,"YJL183W,YNL309W,YOL131W",1,YOL131W,-0.3439269959926605,0.013330000452697277,0.3439269959926605
177051,3,"YDL008W,YNL309W,YOL131W",1,YOL131W,0.12100200355052948,0.023150000721216202,0.12100200355052948
206418,3,"YGL113W,YNL309W,YOL131W",1,YOL131W,-0.15831400454044342,0.024900000542402267,0.15831400454044342
18756,3,"YDR085C,YER158C,YGL212W",1,YER158C,-0.14744700491428375,0.025369999930262566,0.14744700491428375
28488,3,"YDR085C,YER158C,YOR174W",1,YER158C,0.13051000237464905,0.005597999785095453,0.13051000237464905
321759,3,"YDR085C,YER158C,YGR157W",1,YER158C,-0.15895800292491913,3.4539999660410103e-07,0.15895800292491913
54248,3,"YDL008W,YHL015W-A,YKL214C",1,YHL015W-A,-0.16788700222969055,0.007160999812185764,0.16788700222969055
64956,3,"YBR131W,YHL015W-A,YKL214C",1,YHL015W-A,-0.1421480029821396,0.03443000093102455,0.1421480029821396
270754,3,"YDR159W,YHL015W-A,YKL214C",1,YHL015W-A,-0.12598399817943573,0.000440200004959479,0.12598399817943573
370515,3,"YAL010C,YHL015W-A,YKL214C",1,YHL015W-A,-0.11717399954795837,0.02353999949991703,0.11717399954795837
367873,3,"YIL149C,YKR095W,YLR261C",1,YLR261C,-0.2777400016784668,0.0005389000289142132,0.2777400016784668
11219,3,"YBL059W,YER093C-A,YJL104W",1,YBL059W,-0.13072699308395386,0.0033340000081807375,0.13072699308395386
22377,3,"YBL059W,YER093C-A,YGR157W",1,YBL059W,-0.2932420074939728,0.00019200000679120421,0.2932420074939728
54950,3,"YBL059W,YER093C-A,YKL056C",1,YBL059W,-0.3895600140094757,0.0017630000365898013,0.3895600140094757
72074,3,"YBL059W,YER093C-A,YPL262W",1,YBL059W,-0.14876900613307953,0.04554000124335289,0.14876900613307953
85246,3,"YBL059W,YER093C-A,YOL018C",1,YBL059W,-0.1261029988527298,0.0005622999742627144,0.1261029988527298
102867,3,"YBL059W,YDR315C,YER093C-A",1,YBL059W,-0.1283469945192337,0.014829999767243862,0.1283469945192337
179765,3,"YBL059W,YER093C-A,YMR263W",1,YBL059W,-0.2121029943227768,0.0016550000291317701,0.2121029943227768
185618,3,"YBL059W,YER093C-A,YJL081C",1,YBL059W,-0.23580299317836761,0.005584000144153833,0.23580299317836761
204085,3,"YBL059W,YER093C-A,YGR231C",1,YBL059W,0.1840430051088333,4.3469999193128384e-13,0.1840430051088333
204984,3,"YBL059W,YER093C-A,YLR410W",1,YBL059W,-0.1495019942522049,0.0025679999962449074,0.1495019942522049
225131,3,"YBL059W,YER093C-A,YML009C",1,YBL059W,-0.14040599763393402,0.0207700002938509,0.14040599763393402
230577,3,"YBL059W,YER093C-A,YHL020C",1,YBL059W,0.15290699899196625,0.005936000030487776,0.15290699899196625
232900,3,"YBL059W,YER093C-A,YLL001W",1,YBL059W,0.14138899743556976,0.024529999122023582,0.14138899743556976
296458,3,"YBL059W,YDR311W,YER093C-A",1,YBL059W,0.1364080011844635,2.668000043115626e-09,0.1364080011844635
297722,3,"YBL059W,YER093C-A,YIL048W",1,YBL059W,-0.1717049926519394,0.040789999067783356,0.1717049926519394
311112,3,"YBL059W,YER093C-A,YOR002W",1,YBL059W,-0.15153899788856506,0.04129999876022339,0.15153899788856506
327812,3,"YBL059W,YER093C-A,YHR079C",1,YBL059W,0.1332470029592514,0.0007796999998390675,0.1332470029592514
334386,3,"YBL059W,YER093C-A,YLR021W",1,YBL059W,-0.10305900126695633,0.015399999916553497,0.10305900126695633
369552,3,"YBL059W,YDL070W,YER093C-A",1,YBL059W,-0.14259999990463257,0.022530000656843185,0.14259999990463257
360732,3,"YHR022C,YKR077W,YOR066W",1,YHR022C,0.1783140003681183,0.0034169999416917562,0.1783140003681183
88292,3,"YDR081C,YMR160W,YNL042W-B",1,YNL042W-B,-0.11973600089550018,0.01689000055193901,0.11973600089550018
271452,3,"YDR437W,YMR160W,YNL042W-B",1,YNL042W-B,-0.11494400352239609,0.03748999908566475,0.11494400352239609
4240,3,"YDR351W,YHR103W,YLR049C",1,YLR049C,-0.6834909915924072,1.1210000258179619e-18,0.6834909915924072
61963,3,"YGR071C,YLR373C,YOR183W",1,YOR183W,-0.1074490025639534,0.0011230000527575612,0.1074490025639534
135298,3,"YDR067C,YKR084C,YOR076C",1,YDR067C,-0.10905300080776215,0.00039969998761080205,0.10905300080776215
134952,3,"YGR197C,YHR030C,YJR015W",1,YJR015W,0.1118289977312088,0.04794999957084656,0.1118289977312088
308279,3,"YGR197C,YHL029C,YJR015W",2,"YHL029C,YJR015W",0.17508700489997864,0.03589000180363655,0.17508700489997864
371201,3,"YGR197C,YJR015W,YKL055C",1,YJR015W,0.12242300063371658,0.007903000339865685,0.12242300063371658
237350,3,"YBR098W,YML020W,YOL034W",1,YML020W,-0.14689399302005768,0.04805000126361847,0.14689399302005768
85197,3,"YAL034C,YOL069W,YOR338W",1,YOR338W,-0.10330700129270554,0.009390000253915787,0.10330700129270554
231549,3,"YAL034C,YMR093W,YOR338W",1,YOR338W,0.1119220033288002,0.0028669999446719885,0.1119220033288002
275191,3,"YAL034C,YOR338W,YPR181C",1,YOR338W,0.10909300297498703,0.002203000010922551,0.10909300297498703
229800,3,"YHR078W,YLL012W,YLR020C",1,YHR078W,-0.14949199557304382,0.010619999840855598,0.14949199557304382
60654,3,"YGR141W,YJR033C,YPR157W",1,YPR157W,-0.14409500360488892,0.0001720000000204891,0.14409500360488892
163492,3,"YER092W,YGR141W,YPR157W",1,YPR157W,-0.10691200196743011,0.04238000139594078,0.10691200196743011
189719,3,"YGR141W,YIR008C,YPR157W",1,YPR157W,-0.11188399791717529,0.023660000413656235,0.11188399791717529
199950,3,"YGR141W,YLR262C,YPR157W",1,YPR157W,-0.18033599853515625,0.002956999931484461,0.18033599853515625
244025,3,"YGR141W,YNL071W,YPR157W",1,YPR157W,-0.10681699961423874,0.04318999871611595,0.10681699961423874
325157,3,"YDR385W,YGR141W,YPR157W",1,YPR157W,-0.1364690065383911,0.011830000206828117,0.1364690065383911
301183,3,"YCR006C,YGR071C,YLR373C",1,YCR006C,-0.11614000052213669,0.037450000643730164,0.11614000052213669
250775,3,"YDR210W,YMR015C,YOL031C",1,YDR210W,-0.11334200203418732,0.000461199990240857,0.11334200203418732
309781,3,"YDR045C,YDR210W,YOL031C",1,YDR210W,-0.1060279980301857,0.01568000018596649,0.1060279980301857
120479,3,"YBR197C,YHR079C,YPL077C",1,YPL077C,0.1104229986667633,0.033980000764131546,0.1104229986667633
150116,3,"YBR197C,YMR123W,YPL077C",1,YPL077C,-0.1766510009765625,0.0004890999989584088,0.1766510009765625
13513,3,"YDR172W,YKL121W,YMR102C",1,YKL121W,0.22578400373458862,0.029899999499320984,0.22578400373458862
40418,3,"YHR200W,YKL121W,YMR102C",1,YKL121W,-0.11597699671983719,0.0060270000249147415,0.11597699671983719
48266,3,"YGL168W,YKL121W,YMR102C",1,YKL121W,-0.21328000724315643,0.020500000566244125,0.21328000724315643
136807,3,"YKL121W,YLR079W,YMR102C",1,YKL121W,0.17152099311351776,2.8300000849412754e-05,0.17152099311351776
177589,3,"YDR246W,YKL121W,YMR102C",1,YKL121W,0.16699199378490448,0.010180000215768814,0.16699199378490448
187862,3,"YGL167C,YKL121W,YMR102C",1,YKL121W,-0.29239198565483093,0.0038270000368356705,0.29239198565483093
311866,3,"YBR036C,YKL121W,YMR102C",1,YKL121W,0.11828000098466873,2.612999924167525e-05,0.11828000098466873
359641,3,"YIR008C,YKL121W,YMR102C",1,YKL121W,0.14646799862384796,0.02386000007390976,0.14646799862384796
376412,3,"YKL121W,YMR102C,YPL008W",1,YKL121W,0.1159600019454956,0.029160000383853912,0.1159600019454956
24884,3,"YDR334W,YNL288W,YOR268C",1,YOR268C,-0.165583997964859,0.0020940001122653484,0.165583997964859
80192,3,"YKR068C,YNL288W,YOR268C",1,YOR268C,-0.13488200306892395,0.036890000104904175,0.13488200306892395
258637,3,"YLR337C,YNL288W,YOR268C",1,YOR268C,-0.11236699670553207,0.0015259999781847,0.11236699670553207
40762,3,"YJL133W,YJR124C,YKR052C",1,YJR124C,-0.15404899418354034,0.001512999995611608,0.15404899418354034
201115,3,"YDR222W,YER061C,YLR225C",2,"YDR222W,YLR225C",0.2536790072917938,0.04284000024199486,0.2536790072917938
335006,3,"YDR222W,YLR225C,YML032C",2,"YDR222W,YLR225C",-0.1814969927072525,0.003493000054731965,0.1814969927072525
142096,3,"YCR048W,YLR407W,YNR019W",1,YLR407W,0.1276489943265915,0.021900000050663948,0.1276489943265915
29749,3,"YDL058W,YDL195W,YDR391C",1,YDR391C,-0.508778989315033,0.01907999999821186,0.508778989315033
269218,3,"YDR391C,YLR394W,YPR065W",1,YDR391C,-0.10839000344276428,0.00011000000085914508,0.10839000344276428
286883,3,"YDR391C,YKL209C,YNL078W",1,YDR391C,-0.3023360073566437,0.007435999810695648,0.3023360073566437
9236,3,"YDL223C,YNL195C,YOR106W",1,YNL195C,0.11420299857854843,0.049949999898672104,0.11420299857854843
169887,3,"YDL013W,YGR213C,YLR046C",1,YLR046C,-0.26491400599479675,2.8189998602101696e-07,0.26491400599479675
318548,3,"YCR048W,YMR206W,YNR019W",1,YMR206W,0.1116430014371872,0.024809999391436577,0.1116430014371872
96124,3,"YAL056W,YDR248C,YOR371C",1,YDR248C,-0.1386439949274063,0.025930000469088554,0.1386439949274063
110394,3,"YER092W,YGR035C,YLR346C",1,YGR035C,-0.11813800036907196,0.016680000349879265,0.11813800036907196
178534,3,"YGR035C,YLR346C,YOR140W",1,YGR035C,0.17717300355434418,2.418000076431781e-05,0.17717300355434418
374677,3,"YGR035C,YLR089C,YLR346C",1,YGR035C,0.11456099897623062,0.003370000049471855,0.11456099897623062
42077,3,"YAL056W,YGL149W,YOR371C",1,YGL149W,-0.10436099767684937,0.0414000004529953,0.10436099767684937
118942,3,"YGR174W-A,YIL161W,YPR057W",1,YGR174W-A,-0.14228099584579468,0.03296000137925148,0.14228099584579468
240098,3,"YGR174W-A,YIL161W,YLR287C-A",1,YGR174W-A,-0.23524099588394165,0.026159999892115593,0.23524099588394165
224715,3,"YDR351W,YHR103W,YLR111W",1,YLR111W,-0.2105640023946762,0.029670000076293945,0.2105640023946762
332408,3,"YCR048W,YNR019W,YPR064W",1,YPR064W,-0.15718500316143036,0.04893999919295311,0.15718500316143036
106681,3,"YLR031W,YMR124W,YOR080W",1,YLR031W,0.10595399886369705,0.017160000279545784,0.10595399886369705
174999,3,"YLR031W,YMR124W,YPL076W",1,YLR031W,-0.11314299702644348,1.4720000081069884e-06,0.11314299702644348
86893,3,"YDL008W,YJR130C,YML082W",1,YML082W,0.19433100521564484,0.036410000175237656,0.19433100521564484
111816,3,"YJR130C,YLR381W,YML082W",1,YML082W,0.15634800493717194,0.025129999965429306,0.15634800493717194
197805,3,"YAL056W,YDR525W,YOR371C",1,YDR525W,0.11300700157880783,0.017149999737739563,0.11300700157880783
156035,3,"YGL096W,YHL029C,YPL177C",1,YHL029C,-0.3753359913825989,0.01680999994277954,0.3753359913825989
247439,3,"YBL105C,YER075C,YHL029C",1,YHL029C,-0.13940100371837616,4.0169998101191595e-06,0.13940100371837616
250358,3,"YBL041W,YHL029C,YLL050C",1,YHL029C,-0.7537509799003601,0.04424000158905983,0.7537509799003601
283467,3,"YHL029C,YMR291W,YPL099C",1,YHL029C,-0.41658198833465576,0.034630000591278076,0.41658198833465576
