Source Plate Name,Source Plate Type,Source Well,Sample Name,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A17,YEH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B2,25
Source[1],384PP_AQ_BP,A19,YER079W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B3,10
Source[1],384PP_AQ_BP,A7,YOS9,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B4,25
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B5,10
Source[1],384PP_AQ_BP,A5,YPL081W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B6,10
Source[1],384PP_AQ_BP,A9,ELC1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B7,10
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B8,10
Source[1],384PP_AQ_BP,A5,YPL081W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B9,25
Source[1],384PP_AQ_BP,A17,YEH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B10,25
Source[1],384PP_AQ_BP,A5,YPL081W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B11,10
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B12,25
Source[1],384PP_AQ_BP,A5,YPL081W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B13,25
Source[1],384PP_AQ_BP,A21,YKL033W-A,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B14,25
Source[1],384PP_AQ_BP,A21,YKL033W-A,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B15,10
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B16,25
Source[1],384PP_AQ_BP,A19,YER079W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B17,25
Source[1],384PP_AQ_BP,I1,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B18,25
Source[1],384PP_AQ_BP,A15,LCL1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B19,25
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B20,25
Source[1],384PP_AQ_BP,A19,YER079W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B21,25
Source[1],384PP_AQ_BP,I3,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B22,10
Source[1],384PP_AQ_BP,A19,YER079W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,B23,25
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C2,10
Source[1],384PP_AQ_BP,A19,YER079W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C3,25
Source[1],384PP_AQ_BP,A3,YJR060W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C4,10
Source[1],384PP_AQ_BP,I1,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C5,10
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C6,25
Source[1],384PP_AQ_BP,A9,ELC1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C7,10
Source[1],384PP_AQ_BP,A9,ELC1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C8,25
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C9,10
Source[1],384PP_AQ_BP,A5,YPL081W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C10,10
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C11,25
Source[1],384PP_AQ_BP,A5,YPL081W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C12,25
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C13,25
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C14,25
Source[1],384PP_AQ_BP,A15,LCL1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C15,10
Source[1],384PP_AQ_BP,A21,YKL033W-A,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C16,10
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C17,10
Source[1],384PP_AQ_BP,A9,ELC1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C18,10
Source[1],384PP_AQ_BP,A19,YER079W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C19,10
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C20,10
Source[1],384PP_AQ_BP,A3,YJR060W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C21,25
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C22,10
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,C23,25
Source[1],384PP_AQ_BP,A3,YJR060W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D2,25
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D3,25
Source[1],384PP_AQ_BP,A15,LCL1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D4,25
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D5,10
Source[1],384PP_AQ_BP,A15,LCL1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D6,25
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D7,10
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D8,10
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D9,10
Source[1],384PP_AQ_BP,A3,YJR060W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D10,10
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D11,25
Source[1],384PP_AQ_BP,I3,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D12,25
Source[1],384PP_AQ_BP,A17,YEH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D13,10
Source[1],384PP_AQ_BP,A17,YEH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D14,10
Source[1],384PP_AQ_BP,I1,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D15,10
Source[1],384PP_AQ_BP,A7,YOS9,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D16,10
Source[1],384PP_AQ_BP,A9,ELC1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D17,25
Source[1],384PP_AQ_BP,A5,YPL081W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D18,10
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D19,25
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D20,10
Source[1],384PP_AQ_BP,A7,YOS9,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D21,10
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D22,25
Source[1],384PP_AQ_BP,A9,ELC1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,D23,10
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E2,10
Source[1],384PP_AQ_BP,I3,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E3,25
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E4,10
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E5,10
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E6,25
Source[1],384PP_AQ_BP,A3,YJR060W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E7,25
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E8,25
Source[1],384PP_AQ_BP,I1,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E9,25
Source[1],384PP_AQ_BP,A17,YEH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E10,10
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E11,10
Source[1],384PP_AQ_BP,I3,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E12,10
Source[1],384PP_AQ_BP,A21,YKL033W-A,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E13,25
Source[1],384PP_AQ_BP,A3,YJR060W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E14,10
Source[1],384PP_AQ_BP,A15,LCL1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E15,10
Source[1],384PP_AQ_BP,A7,YOS9,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E16,25
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E17,10
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E18,25
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E19,25
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E20,10
Source[1],384PP_AQ_BP,A7,YOS9,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E21,25
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E22,10
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,E23,25
Source[1],384PP_AQ_BP,A19,YER079W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F2,10
Source[1],384PP_AQ_BP,A19,YER079W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F3,25
Source[1],384PP_AQ_BP,I1,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F4,10
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F5,25
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F6,10
Source[1],384PP_AQ_BP,A17,YEH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F7,10
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F8,10
Source[1],384PP_AQ_BP,A3,YJR060W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F9,25
Source[1],384PP_AQ_BP,A7,YOS9,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F10,10
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F11,10
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F12,10
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F13,10
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F14,10
Source[1],384PP_AQ_BP,A7,YOS9,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F15,25
Source[1],384PP_AQ_BP,I3,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F16,25
Source[1],384PP_AQ_BP,A21,YKL033W-A,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F17,10
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F18,25
Source[1],384PP_AQ_BP,A15,LCL1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F19,25
Source[1],384PP_AQ_BP,A3,YJR060W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F20,25
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F21,25
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F22,25
Source[1],384PP_AQ_BP,A21,YKL033W-A,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,F23,10
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G2,10
Source[1],384PP_AQ_BP,A21,YKL033W-A,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G3,25
Source[1],384PP_AQ_BP,A7,YOS9,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G4,10
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G5,25
Source[1],384PP_AQ_BP,A21,YKL033W-A,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G6,25
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G7,10
Source[1],384PP_AQ_BP,I1,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G8,10
Source[1],384PP_AQ_BP,A5,YPL081W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G9,10
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G10,10
Source[1],384PP_AQ_BP,I3,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G11,10
Source[1],384PP_AQ_BP,A15,LCL1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G12,10
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G13,10
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G14,25
Source[1],384PP_AQ_BP,A19,YER079W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G15,10
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G16,10
Source[1],384PP_AQ_BP,I1,Blank_media,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G17,10
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G18,25
Source[1],384PP_AQ_BP,A9,ELC1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G19,25
Source[1],384PP_AQ_BP,A7,YOS9,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G20,25
Source[1],384PP_AQ_BP,A1,BY4741,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G21,10
Source[1],384PP_AQ_BP,A17,YEH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G22,10
Source[1],384PP_AQ_BP,A5,YPL081W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,G23,10
Source[1],384PP_AQ_BP,A15,LCL1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H2,10
Source[1],384PP_AQ_BP,A15,LCL1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H3,25
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H4,25
Source[1],384PP_AQ_BP,A7,YOS9,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H5,10
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H6,10
Source[1],384PP_AQ_BP,A23,SPH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H7,25
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H8,10
Source[1],384PP_AQ_BP,A21,YKL033W-A,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H9,25
Source[1],384PP_AQ_BP,A3,YJR060W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H10,10
Source[1],384PP_AQ_BP,A19,YER079W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H11,10
Source[1],384PP_AQ_BP,A17,YEH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H12,25
Source[1],384PP_AQ_BP,A17,YEH1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H13,10
Source[1],384PP_AQ_BP,A11,COS111,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H14,25
Source[1],384PP_AQ_BP,A13,MMS2,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H15,10
Source[1],384PP_AQ_BP,A7,YOS9,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H16,10
Source[1],384PP_AQ_BP,A19,YER079W,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H17,25
Source[1],384PP_AQ_BP,A15,LCL1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H18,10
Source[1],384PP_AQ_BP,A15,LCL1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H19,10
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H20,10
Source[1],384PP_AQ_BP,C1,YLR312C-B,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H21,10
Source[1],384PP_AQ_BP,A9,ELC1,Plate1_OD1.0_10-25nL,384_Omnitray_Agar,H22,10
